finnish;english;russian;type;group
allekirjoitus, -kirjoituksen;signature;подпись;noun;Work & Study
anteeksi;sorry / excuse me;извини / простите;interjection;Communication
asua (1), asun + missä;to live (somewhere);жить;verb;Home
ei;no / not;не;particle;Grammar
ei se mitään;no problem;ничего страшного;phrase;Communication
englanti, englannin;English (language);английский язык;noun;Communication
Englanti, Englannin;England;Англия;proper noun;Places
entä;what about;а как насчёт;conjunction;Communication
että;that;что;conjunction;Grammar
etunimi, -nimen;first name;имя;noun;People
hauska, -n;funny / nice;весёлый, приятный;adjective;Feelings & Opinions
he, heidän;they / their;они / их;pronoun;Grammar
hei;hi;привет;interjection;Communication
henkilötiedot, -tietojen;personal data;персональные данные;noun (plural);Work & Study
henkilötunnus, -tunnuksen;personal ID number;личный код;noun;Work & Study
häiritä (5), häiritsen;to disturb;мешать;verb;Communication
hän, hänen;he / she;он / она;pronoun;Grammar
ikä, iän;age;возраст;noun;People
ja;and;и;conjunction;Grammar
joku, jonkun;someone;кто-то;pronoun;Grammar
Kanada, -n;Canada;Канада;proper noun;Places
kansalaisuus, kansalaisuuden;citizenship;гражданство;noun;People
kaupunki, kaupungin;city;город;noun;Places
kieli, kielen;language;язык;noun;Communication
kiitos, kiitoksen;thanks;спасибо;noun/interjection;Communication
kirjoittaa (1), kirjoitan;to write;писать;verb;Communication
koti, kodin;home;дом;noun;Home
kuinka;how;как;question word;Grammar
kuka, kenen;who / whose;кто / чей;question word;Grammar
kysymys, kysymyksen;question;вопрос;noun;Communication
maa, -n;country / land;страна / земля;noun;Places
me, meidän;we / our;мы / наш;pronoun;Grammar
mies, miehen;man;мужчина;noun;People
mikä, minkä;what;что;question word;Grammar
minkä ikäinen;how old;какого возраста;question phrase;People
minkä maalainen;from which country;какой национальности;question phrase;People
minä, minun;I / my;я / мой;pronoun;Grammar
missä;where;где;question word;Grammar
miten;how;как;question word;Grammar
naapuri, -n;neighbor;сосед;noun;People
naimaton, naimattoman;single;неженатый / незамужняя;adjective;Family & Relationships
nainen, naisen;woman;женщина;noun;People
nimi, nimen;name;имя;noun;People
numero, -n;number;номер;noun;Basics
nähdä (2), näen;to see;видеть;verb;Body
ole hyvä;you’re welcome / please;пожалуйста;phrase;Communication
olla (3), olen;to be;быть;verb;Basics
ongelma, -n;problem;проблема;noun;Basics
opettaja, -n;teacher;учитель;noun;Work & Study
opiskella (3), opiskelen;to study;учиться;verb;Work & Study
osoite, osoitteen;address;адрес;noun;Work & Study
postinumero, -n;postal code;почтовый индекс;noun;Work & Study
postitoimipaikka, -paikan;post office area;почтовый город;noun;Work & Study
puhelin, puhelimen;phone;телефон;noun;Media & Technology
puhelinnumero, -n;phone number;номер телефона;noun;Work & Study
puhua (1), puhun;to speak;говорить;verb;Communication
raha, -n;money;деньги;noun;Shopping & Services
Ranska, -n;France;Франция;proper noun;Places
sanoa (1), sanon;to say;сказать;verb;Communication
se, -n;it / that;он, она, это;pronoun;Grammar
sinä, sinun;you / your;ты / твой;pronoun;Grammar
siviilisääty, -säädyn;marital status;семейное положение;noun;Work & Study
sukunimi, -nimen;last name;фамилия;noun;People
sukupuoli, -puolen;gender;пол;noun;People
suomalainen, suomalaisen;Finnish (person);финн;noun/adjective;People
suomi, suomen;Finnish (language);финский язык;noun;Communication
